"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E2E","0","Carrinho","1","0","Remoção de itens","0"
"0","API","0","Performance","1","0","","0"
"0","E2E","0","Checkout","1","0","Validação de Campos","0"
"0","E2E","0","Login","1","0","Login com credenciais válidas","0"
"0","API","0","Health Check","1","0","","0"
"0","E2E","0","Checkout","1","0","Cancelamento","0"
"0","E2E","0","Carrinho","1","0","Integridade de Dados","0"
"0","E2E","0","Checkout","1","0","Validação Matemática","0"
"0","E2E","0","Login","1","0","Usuário bloqueado","0"
"0","E2E","0","Checkout","1","0","Finalizar compra com múltiplos itens","0"
"0","E2E","0","Segurança","1","0","Acesso Direto via URL","0"
"0","E2E","0","Carrinho","1","0","Persistência de itens","0"
"0","E2E","0","Login","1","0","Validação de campos obrigatórios","0"
"0","E2E","0","Login","1","0","Username obrigatório","0"
"0","E2E","0","Login","1","0","Password obrigatória","0"
"0","E2E","0","Navegação","1","0","Detalhes do Produto","0"
"0","E2E","0","Login","1","0","Senha inválida","0"
"0","E2E","0","Checkout","1","0","Finalizar compra com sucesso","0"
"0","E2E","0","Configurações","1","0","Reset do Sistema","0"
